epoch,t,x,u_ref,u_pred,phy_loss,data_loss,phys_eff,bc_loss,u_pred_grad,phy_loss_grad,bc_loss_grad,entk,phy_loss_hessian,bc_loss_hessian
0,0.36637,0.13814,-0.76240,0.12159,0.00000,0.78143,0.00000,0.54118,1.34882,0.26976,1.26722,1.81931,6.47425,18.48349
0,0.89690,0.99399,0.04718,0.00197,0.00515,0.00204,2.51841,0.54118,1.79088,0.76997,1.26722,3.20726,14.65788,18.48349
0,0.84585,0.87888,0.58162,0.01713,0.00406,0.31866,0.01274,0.54118,1.72151,0.71102,1.26722,2.96360,13.99988,18.48349
0,0.87087,0.42943,1.05712,0.07709,0.00034,0.96046,0.00035,0.54118,1.58928,0.47181,1.26722,2.52581,9.88800,18.48349
0,0.94194,0.99600,0.00895,0.00152,0.00494,0.00006,89.51799,0.54118,1.80812,0.76595,1.26722,3.26930,14.51312,18.48349
0,0.12513,0.10410,-0.25588,0.12881,0.00003,0.14799,0.00020,0.54118,1.29812,0.21929,1.26722,1.68512,5.76952,18.48349
0,0.52753,0.22122,-0.49459,0.10848,0.00004,0.36370,0.00011,0.54118,1.40899,0.32981,1.26722,1.98525,7.49830,18.48349
0,0.63163,0.43443,-0.30090,0.07817,0.00072,0.14370,0.00500,0.54118,1.48626,0.44193,1.26722,2.20896,9.59261,18.48349
0,0.32232,0.96897,0.00372,0.00950,0.00775,0.00003,232.00879,0.54118,1.63939,0.82825,1.26722,2.68760,15.19685,18.48349
0,0.62062,0.02302,-0.19427,0.13501,0.00034,0.10843,0.00316,0.54118,1.44217,0.37832,1.26722,2.07985,7.73691,18.48349
0,0.93493,0.36937,0.87353,0.08481,0.00010,0.62207,0.00016,0.54118,1.61099,0.46860,1.26722,2.59529,9.85210,18.48349
0,0.71972,0.28729,-0.31194,0.09767,0.00006,0.16779,0.00036,0.54118,1.49599,0.39626,1.26722,2.23799,8.20897,18.48349
0,0.65365,0.90791,0.18182,0.01451,0.00533,0.02799,0.19023,0.54118,1.67200,0.74923,1.26722,2.79560,13.98062,18.48349
0,0.45646,0.09910,-0.07767,0.12612,0.00003,0.04153,0.00071,0.54118,1.37562,0.29623,1.26722,1.89233,6.80766,18.48349
0,0.54054,0.39139,-1.16856,0.08484,0.00063,1.57101,0.00040,0.54118,1.44277,0.40912,1.26722,2.08160,8.91421,18.48349
0,0.70170,0.68168,-0.11924,0.04410,0.00252,0.02668,0.09461,0.54118,1.58952,0.59928,1.26722,2.52658,12.32624,18.48349
0,0.39139,0.66366,-1.08086,0.04900,0.00348,1.27659,0.00272,0.54118,1.49407,0.61334,1.26722,2.23223,11.79506,18.48349
0,0.25025,0.41942,-0.42562,0.08366,0.00143,0.25937,0.00550,0.54118,1.37673,0.43308,1.26722,1.89538,8.90123,18.48349
0,0.97097,0.34434,0.52274,0.08796,0.00004,0.18904,0.00022,0.54118,1.62630,0.47353,1.26722,2.64485,10.05144,18.48349
0,0.36937,0.21622,-0.63212,0.11068,0.00012,0.55175,0.00021,0.54118,1.35729,0.29436,1.26722,1.84225,7.06230,18.48349
0,0.14314,0.68468,0.19182,0.04870,0.00469,0.02049,0.22872,0.54118,1.47392,0.66486,1.26722,2.17244,12.61368,18.48349
0,0.93994,0.01201,0.03968,0.13331,0.00071,0.00877,0.08138,0.54118,1.60294,0.50718,1.26722,2.56943,9.80349,18.48349
0,0.35235,0.49850,-0.59173,0.07180,0.00186,0.44027,0.00422,0.54118,1.42130,0.48808,1.26722,2.02010,10.12864,18.48349
0,0.40240,0.26827,-0.52264,0.10312,0.00025,0.39158,0.00063,0.54118,1.37427,0.32442,1.26722,1.88860,7.69225,18.48349
0,0.23423,0.36537,-0.36770,0.09129,0.00104,0.21067,0.00494,0.54118,1.35852,0.39009,1.26722,1.84557,8.30290,18.48349
0,0.00701,0.45846,0.74507,0.08087,0.00244,0.44116,0.00553,0.54118,1.37482,0.50439,1.26722,1.89013,9.88857,18.48349
0,0.62462,0.44645,-0.38712,0.07658,0.00080,0.21502,0.00374,0.54118,1.48657,0.44838,1.26722,2.20989,9.75862,18.48349
0,0.42643,0.36236,-0.67703,0.08986,0.00066,0.58811,0.00112,0.54118,1.40001,0.38370,1.26722,1.96003,8.53480,18.48349
0,0.27127,0.84084,-0.45509,0.02664,0.00624,0.23206,0.02691,0.54118,1.56305,0.75653,1.26722,2.44313,13.97399,18.48349
0,0.88388,0.26727,0.65989,0.09909,0.00000,0.31450,0.00000,0.54118,1.57316,0.44101,1.26722,2.47484,9.42985,18.48349
0,0.70671,0.17317,0.05178,0.11349,0.00002,0.00381,0.00492,0.54118,1.48031,0.38103,1.26722,2.19133,7.88780,18.48349
0,0.98699,0.27327,0.61783,0.09748,0.00000,0.27076,0.00001,0.54118,1.62776,0.47324,1.26722,2.64960,9.69546,18.48349
2000,0.05105,0.86587,0.24721,0.22946,1.73877,0.00032,5516.92529,0.07757,4.68688,84.43292,0.67942,21.96688,2825.35010,62.74198
2000,0.41542,0.05005,-0.29000,-0.22174,0.13160,0.00466,28.24426,0.07757,3.79542,129.28523,0.67942,14.40520,936.85760,62.74198
2000,0.03103,0.01301,0.09797,0.26291,0.28309,0.02720,10.40598,0.07757,4.35719,43.97322,0.67942,18.98510,355.33582,62.74198
2000,0.89089,0.14314,-0.11225,0.10147,0.00312,0.04568,0.06829,0.07757,5.06518,13.33475,0.67942,25.65601,208.94521,62.74198
2000,0.59960,0.14515,-0.74563,-0.30079,0.01625,0.19789,0.08213,0.07757,4.36382,43.09484,0.67942,19.04291,908.97620,62.74198
2000,0.68869,0.71872,-0.28478,-0.37739,0.61505,0.00858,71.70267,0.07757,4.58830,29.19954,0.67942,21.05255,310.56223,62.74198
2000,0.72472,0.59860,0.22990,-0.26524,0.27386,0.24517,1.11703,0.07757,4.72622,15.79189,0.67942,22.33718,227.97415,62.74198
2000,0.09710,0.65666,0.37015,0.48938,4.69053,0.01422,329.95834,0.07757,4.25950,166.22942,0.67942,18.14337,817.73505,62.74198
2000,0.20721,0.02503,0.09437,0.07152,0.00055,0.00052,1.05045,0.07757,3.82540,60.66038,0.67942,14.63370,312.12881,62.74198
2000,0.79780,0.74274,0.23034,-0.07701,0.33621,0.09447,3.55896,0.07757,4.86193,17.55593,0.67942,23.63836,234.96577,62.74198
2000,0.95495,0.77778,0.54458,0.27249,0.00000,0.07403,0.00007,0.07757,5.10131,12.50717,0.67942,26.02339,132.88506,62.74198
2000,0.56857,0.68869,-0.80651,-0.63838,0.51204,0.02827,18.11406,0.07757,4.19510,52.74214,0.67942,17.59887,317.45563,62.74198
2000,0.52553,0.79479,-0.80700,-0.45921,0.00203,0.12095,0.01682,0.07757,4.43674,35.28201,0.67942,19.68465,572.06244,62.74198
2000,0.70871,0.25125,-0.18611,-0.28987,0.06407,0.01077,5.95134,0.07757,4.54233,33.91119,0.67942,20.63280,398.47128,62.74198
2000,0.11311,0.90490,0.66758,0.39728,0.32876,0.07306,4.49992,0.07757,4.50738,140.63069,0.67942,20.31650,2405.10181,62.74198
2000,0.47848,0.36537,-1.32904,-0.63779,0.00037,0.47782,0.00077,0.07757,3.92178,42.04256,0.67942,15.38037,1142.91235,62.74198
2000,0.58258,0.74675,-0.63016,-0.55843,0.33026,0.00515,64.18403,0.07757,4.29911,54.00748,0.67942,18.48232,308.70551,62.74198
