epoch,total_loss
0,5.412014
1,3.987008
2,6.887898
3,4.269783
4,4.543213
5,3.723691
6,4.003753
7,3.211350
8,4.860289
9,3.719881
10,3.319405
11,2.800913
12,3.804319
13,3.440478
14,3.964790
15,3.425785
16,3.784324
17,4.136016
18,3.875084
19,4.356788
20,3.859886
21,3.369573
22,3.211290
23,4.183510
24,3.196136
25,3.330176
26,3.893295
27,3.776816
28,4.685676
29,3.270763
30,4.245736
31,3.795809
32,4.301724
33,3.148721
34,3.470425
35,3.799488
36,3.644596
37,3.872343
38,3.194630
39,4.552364
40,3.700495
41,3.237220
42,3.943152
43,3.249144
44,3.208876
45,3.381997
46,3.745955
47,4.486561
48,3.476084
49,3.027108
50,3.972147
51,3.208847
52,3.048308
53,3.352699
54,3.092782
55,4.243622
56,2.944045
57,3.889112
58,3.247426
59,3.873685
60,3.741365
61,2.646216
62,3.334466
63,2.930287
64,3.327640
65,3.260696
66,2.335359
67,3.158204
68,2.806346
69,3.638147
70,3.664455
71,2.887295
72,3.496624
73,3.735378
74,3.230876
75,3.722770
76,3.696800
77,4.447560
78,4.349013
79,4.159167
80,4.280122
81,3.372459
82,2.844742
83,4.134825
84,4.953420
85,3.008148
86,3.697274
87,2.341725
88,3.412144
89,2.727965
90,2.880383
91,3.896348
92,2.953298
93,3.700276
94,4.556845
95,3.878678
96,4.633570
97,4.167982
98,3.322061
99,3.556318
100,2.829880
101,3.895011
102,4.417106
103,3.584523
104,4.008046
105,3.813304
106,2.789635
107,3.452483
108,2.978216
109,3.845656
110,2.977052
111,3.381588
112,2.652478
113,3.694667
114,2.527565
115,4.107311
116,3.844463
117,4.292506
118,3.480653
119,3.054071
120,3.651531
121,3.779648
122,3.636577
123,3.596904
124,3.179296
125,2.899783
126,3.356320
127,3.614726
128,3.918898
129,2.810321
130,3.667032
131,2.957921
132,2.975499
133,2.676576
134,3.208970
135,3.131864
136,2.411813
137,3.648504
138,3.251890
139,3.025631
140,2.889641
141,3.713223
142,2.433326
143,2.528920
144,3.766502
145,3.355880
146,3.089122
147,4.082620
148,3.100702
149,4.445168
150,4.562957
151,4.608080
152,3.851238
153,3.112408
154,2.378513
155,2.444591
156,3.768636
157,3.549639
158,3.808317
159,4.869213
160,4.058606
161,2.561571
162,3.082625
163,3.444836
164,3.430641
165,3.430550
166,3.439150
167,3.677840
168,3.323281
169,2.401134
170,3.098926
171,2.410671
172,2.825850
173,4.216688
174,2.779523
175,2.835531
176,3.301727
177,4.731002
178,3.317495
179,2.680982
180,2.918528
181,1.604917
182,2.397389
183,2.736517
184,2.949938
185,2.881713
186,2.713220
187,3.907916
188,2.946044
189,3.423669
190,2.676066
191,1.998802
192,2.746876
193,3.138000
194,3.182153
195,3.354949
196,3.884441
197,4.190224
198,3.523124
199,2.954185
200,3.562163
201,2.769599
202,2.569767
203,2.213315
204,2.715011
205,2.529613
206,3.434319
207,2.733037
208,2.708673
209,3.030620
210,2.664401
211,3.215746
212,3.334959
213,2.329755
214,2.548369
215,2.601518
216,2.775368
217,2.840795
218,2.792920
219,3.507486
220,1.715329
221,2.764520
222,3.575136
223,3.552373
224,3.319523
225,2.201439
226,2.647213
